Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
10.00006437	-157.0844955	0.000112698	2.33E-07
9.999657631	-165.0059509	0.000112134	2.11E-07
9.999514103	-172.8125839	0.000111806	2.63E-07
9.999819756	-181.0056305	0.000111152	2.27E-07
10.00006866	-188.999794	0.000110735	2.35E-07
10.0001688	-197.0611725	0.000110398	2.33E-07
9.999803543	-205.1722412	0.000109943	2.15E-07
9.999166489	-212.9254837	0.000109681	2.51E-07
9.999370098	-221.0180283	0.000109044	1.99E-07
9.999965668	-228.9883957	0.000108731	2.65E-07
9.999909401	-236.7367935	0.000108086	2.59E-07
9.999893665	-245.0316086	0.000107731	2.44E-07
10.00024033	-252.9629288	0.000107366	2.10E-07
10.00028944	-260.9632416	0.000106943	2.12E-07
10.00028753	-268.8096619	0.000106753	2.55E-07
10.00030422	-276.7492218	0.00010604	2.32E-07
10.00001097	-284.7312775	0.000105846	1.95E-07
9.999941826	-292.7306671	0.000105905	2.66E-07
10.00009251	-300.7014771	0.000105275	2.23E-07
9.99996376	-308.7285309	0.000105023	2.46E-07
9.999946594	-316.9487	0.000104637	2.37E-07
10.00011635	-324.709137	0.000104098	2.36E-07
9.99998188	-332.7189026	0.000103766	2.26E-07
9.999830246	-340.7288513	0.000103413	2.26E-07
10.00001526	-348.6867218	0.00010288	2.29E-07
10.00020075	-356.721405	0.000102783	2.37E-07
10.00022793	-364.7207794	0.000102489	2.59E-07
10.0000329	-372.7011108	0.000102393	1.97E-07
9.99966526	-380.738678	0.000101625	2.07E-07
9.999510765	-388.7648926	0.000101401	2.12E-07
9.999700546	-396.7779846	0.000101013	2.37E-07
9.999857903	-404.8119659	0.000100695	2.53E-07
10.00006676	-412.768692	0.000100287	2.44E-07
10.00020409	-420.7447205	0.000100213	2.20E-07
10.0000968	-428.7270508	9.98E-05	2.24E-07
9.99981308	-436.7515411	9.94E-05	2.19E-07
9.999539375	-444.8322754	9.93E-05	2.18E-07
9.999545574	-452.6051025	9.90E-05	2.72E-07
9.999660969	-460.8395233	9.85E-05	2.86E-07
9.999855995	-468.6539001	9.83E-05	2.09E-07
9.999978542	-476.9836731	9.79E-05	2.39E-07
9.999897957	-484.9769897	9.77E-05	2.20E-07
9.999794006	-492.9434814	9.75E-05	2.39E-07
9.999808311	-500.7180023	9.72E-05	2.41E-07
10.00008392	-508.725174	9.69E-05	2.55E-07
10.00020123	-516.9398499	9.64E-05	2.46E-07
10.00018311	-524.9522095	9.62E-05	2.16E-07
10.00008345	-532.789093	9.58E-05	2.07E-07
9.999830246	-540.7899475	9.58E-05	2.32E-07
9.999736786	-548.9215088	9.55E-05	2.32E-07
9.99963522	-556.941925	9.52E-05	2.38E-07
9.999989986	-564.9413147	9.49E-05	2.40E-07
10.00052881	-572.4894104	9.47E-05	2.38E-07
10.0004549	-580.718811	9.43E-05	2.31E-07
10.00014782	-588.8643799	9.40E-05	1.99E-07
10.00020361	-596.7114868	9.36E-05	2.20E-07
10.00008011	-605.0447388	9.34E-05	2.31E-07
9.999929905	-612.7855225	9.29E-05	2.09E-07
10.00007105	-620.9741821	9.29E-05	2.48E-07
10.00010681	-628.6812744	9.25E-05	2.52E-07
9.999917984	-636.7516785	9.24E-05	2.16E-07
9.999669075	-644.5799255	9.21E-05	2.25E-07
9.999683857	-652.59552	9.19E-05	3.04E-07
9.999843121	-660.3355713	9.16E-05	2.04E-07
10.00001001	-668.3505859	9.13E-05	2.36E-07
9.999913216	-676.4597778	9.11E-05	2.49E-07
9.999748707	-684.5154419	9.05E-05	2.73E-07
9.999746799	-692.3840637	9.03E-05	2.41E-07
9.999659538	-700.4319763	9.03E-05	2.42E-07
9.999674797	-708.4893188	8.96E-05	2.59E-07
10	-716.289856	8.92E-05	2.68E-07
10.00030041	-724.4049988	8.92E-05	2.53E-07
10.00036144	-732.2418518	8.91E-05	2.54E-07
10.00011492	-740.2434998	8.89E-05	2.08E-07
9.999839783	-748.481842	8.85E-05	2.19E-07
10.00000858	-756.4431458	8.80E-05	2.59E-07
10.0006628	-764.7079773	8.77E-05	2.04E-07
10.00107384	-772.2854614	8.76E-05	2.30E-07
10.00099277	-780.360199	8.72E-05	2.41E-07
10.00059986	-788.3812561	8.70E-05	2.66E-07
10.00027561	-796.2802734	8.66E-05	2.44E-07
10.00019884	-804.4931641	8.65E-05	2.14E-07
10.0003953	-812.4942627	8.59E-05	2.43E-07
10.00024223	-820.4893188	8.57E-05	2.15E-07
9.999746323	-828.460144	8.56E-05	2.34E-07
9.999452114	-836.2044373	8.51E-05	2.40E-07
9.999307156	-844.2513428	8.47E-05	2.57E-07
9.999419689	-852.2724304	8.43E-05	2.28E-07
9.999410152	-860.2814026	8.40E-05	2.09E-07
9.999388218	-868.0818176	8.33E-05	2.37E-07
9.999575138	-876.2670898	8.33E-05	2.58E-07
9.999732018	-884.2724915	8.29E-05	2.51E-07
9.999799252	-892.1854858	8.25E-05	3.15E-07
9.999901295	-900.1260986	8.22E-05	2.05E-07
10.00006866	-908.1705017	8.17E-05	2.27E-07
10.0000596	-916.1577759	8.13E-05	2.30E-07
10.00025892	-924.134613	8.07E-05	2.44E-07
10.00046587	-932.1703491	8.01E-05	2.29E-07
10.00018644	-940.2077637	7.93E-05	2.11E-07
9.9998703	-947.9702454	7.86E-05	2.27E-07
9.999736309	-955.987854	7.76E-05	2.07E-07
9.999820232	-963.8712769	7.62E-05	2.40E-07
9.999668598	-972.0461121	7.42E-05	2.31E-07
9.999302387	-980.0731506	7.20E-05	2.23E-07
9.999210358	-987.9429321	6.93E-05	2.34E-07
9.999679565	-996.1411438	6.60E-05	2.76E-07
10.00054979	-1004.163086	6.26E-05	2.79E-07
10.00112343	-1012.104523	5.93E-05	2.56E-07
10.0009737	-1019.876434	5.60E-05	2.44E-07
10.00033379	-1028.003601	5.29E-05	2.54E-07
9.999778271	-1036.285767	4.98E-05	2.41E-07
9.999808788	-1044.271301	4.69E-05	2.22E-07
10.00007296	-1051.878174	4.48E-05	2.53E-07
10.00011969	-1059.848206	4.18E-05	2.17E-07
10.00014782	-1067.841553	3.85E-05	2.49E-07
10.00023937	-1075.815796	3.48E-05	2.66E-07
10.00006962	-1084.120544	2.94E-05	2.85E-07
9.999533653	-1092.10083	2.30E-05	3.46E-07
9.99941349	-1099.843384	1.56E-05	3.17E-07
9.99975729	-1108.130676	7.45E-06	3.34E-07
9.999973297	-1116.049622	-1.74E-06	3.55E-07
10.00008106	-1123.755066	-1.17E-05	4.11E-07
10.00002527	-1131.789978	-2.20E-05	3.99E-07
9.99988699	-1139.98822	-3.25E-05	4.03E-07
9.999830246	-1147.98584	-4.24E-05	4.13E-07
10.00000525	-1155.832031	-5.19E-05	3.57E-07
10.00020838	-1163.841919	-5.99E-05	3.35E-07
10.00024748	-1171.820557	-6.77E-05	3.44E-07
10.00038576	-1179.583069	-7.41E-05	3.14E-07
10.00009966	-1187.809814	-8.00E-05	3.21E-07
9.999732018	-1195.784058	-8.57E-05	2.82E-07
9.999689579	-1203.602783	-9.11E-05	2.60E-07
9.999852657	-1211.75	-9.57E-05	3.14E-07
9.999834538	-1219.814209	-9.99E-05	2.90E-07
9.99971962	-1227.784241	-0.000104148	3.00E-07
9.999614716	-1235.782715	-0.000108901	2.91E-07
9.999674797	-1243.858398	-0.000112611	2.58E-07
10.00019979	-1251.874207	-0.000116314	2.81E-07
10.00073576	-1259.638367	-0.000119934	2.54E-07
10.00056648	-1267.519104	-0.000123326	2.27E-07
9.999873638	-1275.555725	-0.000126238	2.22E-07
9.999519348	-1283.68634	-0.000128885	2.37E-07
9.999737263	-1291.55365	-0.000131538	2.48E-07
10.0000782	-1299.618042	-0.000133663	2.48E-07
10.00029039	-1307.643921	-0.000135469	2.41E-07
10.00049019	-1315.800415	-0.000137201	2.26E-07
10.00054407	-1323.626038	-0.000138529	2.39E-07
9.999975681	-1331.857483	-0.00013949	2.30E-07
9.999545097	-1339.657654	-0.000140358	3.22E-07
9.9994874	-1347.761719	-0.000141371	2.27E-07
9.999491692	-1355.841003	-0.000141928	2.25E-07
9.999935627	-1363.844666	-0.000142409	2.41E-07
10.00045729	-1371.866516	-0.000143156	2.38E-07
10.00048304	-1379.877136	-0.000143215	2.19E-07
10.000072	-1387.834961	-0.000143716	2.05E-07
9.99984169	-1395.800537	-0.000144036	2.16E-07
9.99987793	-1403.803406	-0.000144317	2.50E-07
9.99990654	-1411.819214	-0.000144825	2.21E-07
9.999939919	-1419.838501	-0.000144945	2.18E-07
9.999939919	-1427.861267	-0.000145536	2.38E-07
9.999862671	-1435.784485	-0.000145569	2.11E-07
9.999902248	-1443.752747	-0.000145797	2.42E-07
9.999972343	-1451.871582	-0.000146165	2.37E-07
9.999974728	-1459.800842	-0.000146227	2.48E-07
10.00008154	-1467.687683	-0.000146687	2.64E-07
10.00034142	-1475.724304	-0.000146673	2.17E-07
10.00028133	-1483.753174	-0.000147006	2.22E-07
9.999897003	-1491.80011	-0.0001473	2.17E-07
9.999817848	-1499.632629	-0.000147604	2.24E-07
9.999866486	-1507.786743	-0.000147608	2.03E-07
9.999942303	-1515.545776	-0.000148031	2.06E-07
9.999976158	-1523.750916	-0.000148396	2.35E-07
9.999929428	-1531.77887	-0.000148393	2.50E-07
9.99988842	-1539.840942	-0.000148675	2.44E-07
9.999891281	-1547.805664	-0.000148891	2.75E-07
9.999970913	-1555.535828	-0.000149178	2.89E-07
10.0001936	-1563.555176	-0.000149429	2.57E-07
10.00060081	-1571.769775	-0.000149551	2.47E-07
10.00059843	-1579.610107	-0.000149608	2.87E-07
10.00032616	-1587.620789	-0.000149717	2.31E-07
10.00006056	-1595.760132	-0.000150008	2.24E-07
9.999652863	-1603.548523	-0.000150226	2.31E-07
9.999520779	-1611.76239	-0.000150326	2.14E-07
9.99972105	-1619.560303	-0.000150489	2.34E-07
9.999914169	-1627.729309	-0.000150785	2.12E-07
9.999783516	-1635.528015	-0.000151016	2.54E-07
9.999409199	-1643.523926	-0.000151278	2.54E-07
9.999334812	-1651.466919	-0.000151487	2.12E-07
9.999463558	-1659.504272	-0.000151824	2.35E-07
10.00000763	-1667.312683	-0.000151666	2.28E-07
10.0003376	-1675.519714	-0.000152093	2.23E-07
10.00017309	-1683.334229	-0.000152412	2.34E-07
9.99975729	-1691.379456	-0.000152473	2.42E-07
9.999485016	-1699.373596	-0.000152444	2.37E-07
9.999496937	-1707.492188	-0.000152654	2.21E-07
9.999498844	-1715.382568	-0.000152961	2.24E-07
9.999647141	-1723.369812	-0.000153121	2.35E-07
9.999979973	-1731.51532	-0.000153318	2.24E-07
10.00027323	-1739.267334	-0.000153513	2.37E-07
10.00030851	-1747.509766	-0.000153629	2.38E-07
10.00014067	-1755.362488	-0.00015381	2.38E-07
9.999842644	-1763.406006	-0.000154075	2.22E-07
9.999737263	-1771.624573	-0.000154041	2.24E-07
9.999871254	-1779.226318	-0.000154782	4.46E-07
10.00003958	-1787.026062	-0.000154707	2.52E-07
10.00022173	-1794.998596	-0.000154799	2.42E-07
10.00016356	-1803.161316	-0.000155082	2.47E-07
10.00003433	-1810.97052	-0.000155359	2.00E-07
9.999985218	-1818.986633	-0.000155239	2.34E-07
9.999937534	-1827.275391	-0.000155596	2.43E-07
9.999902248	-1835.092346	-0.000155731	2.00E-07
9.999951839	-1843.070984	-0.000156305	2.29E-07
9.999946594	-1851.042786	-0.000156138	2.29E-07
10.00009012	-1859.09491	-0.000156378	2.43E-07
10.0001893	-1867.126038	-0.000156548	2.02E-07
9.999931812	-1875.066528	-0.000156908	2.31E-07
9.999839783	-1883.102539	-0.00015704	2.55E-07
9.999912262	-1891.097656	-0.000156772	2.38E-07
9.999991417	-1899.023438	-0.000157432	2.16E-07
10.0002389	-1906.775513	-0.000157619	2.14E-07
10.00029659	-1915.048096	-0.000157835	2.02E-07
10.00043249	-1923.140076	-0.000157756	2.49E-07
10.00080252	-1931.100525	-0.000157965	2.53E-07
10.00063753	-1938.962341	-0.000158232	2.28E-07
9.999930382	-1946.767273	-0.000158183	2.44E-07
9.999492645	-1955.086548	-0.000158383	2.32E-07
9.999396324	-1962.867981	-0.000158859	2.22E-07
9.999956131	-1970.953735	-0.000158968	2.37E-07
10.0007844	-1978.981628	-0.000158996	2.49E-07
10.00050116	-1987.067627	-0.000159311	2.52E-07
9.999967098	-1995.649902	-0.00015971	3.32E-07
9.999606609	-2000.194763	-0.000159086	1.70E-07
10.00010014	-1999.486572	-0.000159695	1.96E-07
10.00072718	-1996.842712	-0.000159885	3.56E-07
10.00107861	-1989.407349	-0.000159639	2.20E-07
10.00091457	-1981.717346	-0.000159452	2.13E-07
10.00026798	-1973.526978	-0.000159656	2.11E-07
9.999653339	-1965.776611	-0.000159221	2.46E-07
9.999293327	-1957.575806	-0.000159392	2.24E-07
9.99954319	-1949.780518	-0.000159215	2.41E-07
9.99965477	-1941.453308	-0.00015944	2.41E-07
9.999568462	-1933.493713	-0.000158942	2.48E-07
9.99980545	-1925.509827	-0.000159115	2.24E-07
10.00002623	-1917.789856	-0.000159065	2.01E-07
10.00016642	-1909.716064	-0.000158826	1.99E-07
10.00025654	-1901.723755	-0.000159063	2.16E-07
10.00023603	-1893.732849	-0.000158935	2.46E-07
9.999802589	-1885.760376	-0.00015868	2.39E-07
9.999252796	-1877.888123	-0.000158982	2.31E-07
9.999336243	-1869.76709	-0.000158423	2.06E-07
9.99964571	-1861.772522	-0.000158824	2.51E-07
9.999597549	-1853.885498	-0.000158259	2.26E-07
9.999586105	-1845.830139	-0.000158428	2.13E-07
9.999874115	-1837.9776	-0.000158364	2.33E-07
10.00030041	-1829.755188	-0.000158244	2.58E-07
10.00052214	-1821.773132	-0.000158189	2.39E-07
10.00052881	-1814.018433	-0.000158245	2.52E-07
10.0001936	-1805.721558	-0.000157974	2.14E-07
9.999765873	-1797.849182	-0.000157957	2.39E-07
9.999722481	-1789.905212	-0.000157987	2.59E-07
9.999982357	-1782.092529	-0.000157835	4.34E-07
9.999979973	-1774.274719	-0.000157777	2.23E-07
9.999667645	-1766.004822	-0.000157722	2.32E-07
9.999508858	-1758.269104	-0.000157848	2.15E-07
