Field (T)	Resistance (Ohms)
1736.569	2349343
1739.424	2349467
1741.758	2348318
1744.367	2347451
1746.881	2345419
1749.489	2341007
1751.961	2346135
1754.548	2341469
1757.369	2344043
1759.401	2339092
1761.927	2344494
1764.337	2350821
1767.073	2347459
1769.533	2345327
1772.118	2347779
1774.58	2346106
1777.188	2344588
1779.762	2340943
1782.28	2347836
1784.882	2346795
1787.45	2350661
1789.927	2337194
1792.528	2347025
1795.218	2345667
1797.588	2337583
1800.18	2347524
1802.719	2343882
1805.3	2342769
1807.682	2351233
1810.285	2353414
1813.012	2352521
1815.472	2342786
1818.092	2348480
1820.446	2350280
1823.099	2347333
1825.628	2349607
1828.361	2347900
1830.729	2350976
1833.349	2349271
1836.013	2349852
1838.392	2353485
1841.024	2355376
1843.548	2348247
1846.081	2349315
1848.671	2359418
1851.203	2355815
1853.727	2347614
1856.312	2348548
1859.002	2353651
1861.772	2354819
1864.219	2353044
1866.942	2355107
1869.458	2353783
1871.804	2348441
1874.396	2359894
1876.932	2351518
1879.538	2353648
1882.076	2353543
1884.557	2350443
1887.047	2348492
1889.758	2346973
1892.201	2358186
1894.902	2357095
1897.43	2355709
1900.131	2347674
1900.924	2352867
1902.183	2347541
1903.417	2354041
1904.748	2355353
1905.971	2346288
1907.181	2353902
1908.634	2351862
1909.783	2348440
1911.018	2350131
1912.41	2353368
1913.681	2354520
1914.964	2348688
1916.198	2351206
1917.457	2347749
1918.764	2345640
1919.999	2361969
1921.378	2351168
1922.661	2342455
1923.896	2353671
1925.179	2347062
1926.401	2353089
1927.696	2351602
1928.919	2344050
1930.323	2345428
1931.436	2357284
1932.84	2356531
1934.05	2346836
1935.297	2348760
1936.628	2348602
1938.032	2355029
1939.134	2356291
1940.562	2345011
1941.772	2348672
1943.067	2353640
1944.338	2356068
1945.536	2348697
1946.892	2350860
1948.26	2347998
1949.506	2353548
1950.644	2351079
1951.975	2349426
1953.295	2351329
1954.614	2350448
1955.8	2352305
1957.095	2351712
1958.487	2347116
1959.758	2348639
1961.016	2346140
1962.299	2340601
1963.546	2342016
1964.829	2351087
1966.088	2351396
1967.334	2358696
1968.726	2352998
1969.961	2356244
1971.28	2346911
1972.502	2351479
1973.785	2351356
1975.044	2353966
1976.291	2347829
1977.586	2346798
1978.953	2353055
1980.2	2356765
1981.398	2351969
1982.681	2345573
1983.916	2353426
1985.138	2353893
1986.445	2355496
1987.716	2345335
1989.12	2353181
1990.343	2355422
1991.65	2349201
1992.933	2351489
1994.155	2350151
1995.426	2352083
1996.66	2343203
1998.077	2346390
1999.323	2349339
1999.674	2349245
1999.65	2346067
1974.993	2349303
1940.863	2351744
1906.846	2353261
1872.874	2355562
1838.909	2351937
1804.938	2355538
1770.956	2355143
1737.305	2345984
1703.277	2351418
1669.306	2351971
1635.363	2354105
1601.283	2355381
1567.341	2351732
1533.271	2349638
1499.404	2357311
1465.38	2350945
1431.36	2350438
1397.498	2357713
1363.402	2356525
1329.434	2353675
1295.447	2359159
1261.437	2355046
1227.455	2351545
1193.581	2354460
1159.498	2355765
1125.5	2354061
1091.694	2353642
1057.591	2359972
1041.388	2365694
1024.37	2353087
1007.389	2356389
1000.273	2359674
1000.249	2354827
998.3204	2357083
994.8537	2359667
991.572	2361257
987.991	2357004
984.6693	2354237
981.4415	2355200
978.1287	2356667
974.4873	2355019
971.0672	2353922
967.7458	2354808
964.2894	2361526
961.0511	2359768
957.6741	2358241
954.2883	2356726
950.9198	2360788
947.4333	2359447
943.816	2358412
940.7425	2356383
937.3356	2356363
933.8532	2359071
930.4471	2352509
927.0234	2357367
923.5032	2355384
920.0573	2359286
916.7342	2356987
913.5338	2361614
910.0115	2360266
906.6608	2362919
903.1042	2355116
899.9365	2362403
896.342	2357803
893.1259	2361640
889.6072	2359886
886.0662	2356018
882.954	2358761
879.4786	2364901
876.0309	2363213
872.8996	2362653
869.4796	2364738
866.0388	2362538
862.451	2357393
859.2506	2360271
855.6998	2363528
852.2602	2357858
849.0026	2354726
845.42	2357313
842.0674	2353358
838.912	2356745
835.4834	2353674
831.9943	2360359
828.6484	2351955
825.228	2355663
821.6302	2357607
818.4747	2351323
814.8662	2363718
811.4655	2357855
808.296	2356378
804.6476	2354894
801.4403	2356685
798.0394	2364217
794.6261	2358231
791.2649	2360469
787.9003	2363098
784.4127	2360573
781.0203	2353932
777.6765	2360765
773.9901	2349969
770.8697	2352770
767.4059	2353456
764.0048	2359330
760.5435	2364368
757.3483	2356766
753.7794	2358939
750.5297	2357154
747.1088	2360416
743.5298	2355493
740.0214	2352133
736.7363	2359125
733.5878	2364508
729.8201	2352027
726.7755	2351550
723.0838	2353730
719.7054	2357486
716.2247	2357797
712.9622	2350890
709.4279	2357207
706.1532	2355965
702.939	2362325
699.3235	2352486
696.1893	2360834
692.7549	2361192
689.3071	2358237
685.9097	2356661
682.2821	2360493
679.1336	2360611
675.532	2362831
672.3108	2356141
668.9582	2363533
665.2978	2360503
661.8674	2357392
658.4958	2367064
655.119	2361716
651.7432	2361375
648.3031	2360348
644.9176	2368445
641.5823	2373579
637.6333	2359792
634.1804	2360787
630.7569	2360879
627.2704	2367307
623.998	2365372
620.4223	2359857
617.0574	2369470
613.6617	2353509
610.3871	2362985
606.9498	2364776
603.5211	2358773
600.0906	2364157
596.7571	2361214
593.389	2357427
589.9846	2365057
586.5143	2361171
583.1064	2365011
579.7192	2365450
576.3995	2359094
572.8878	2356651
569.5265	2363319
566.1359	2364397
562.6847	2364643
559.3668	2368040
555.9277	2363744
552.5422	2356746
549.0703	2360524
545.6865	2368897
542.4897	2362275
539.0178	2364933
535.6133	2371950
532.3542	2360111
528.7247	2364766
525.3912	2366092
522.0992	2367909
518.5649	2365510
515.2141	2367885
511.7958	2364755
508.4103	2364103
504.9834	2367475
501.6204	2362711
498.2021	2367286
494.7976	2362137
491.4693	2369355
488.0164	2365169
484.553	2368829
481.2074	2367334
477.4139	2368478
473.9731	2367076
470.809	2374360
467.1382	2371537
463.8238	2370062
460.5835	2372530
456.9109	2360650
453.5757	2373255
450.1245	2368462
447.036	2370904
443.3553	2368074
439.982	2369072
436.6122	2373504
433.1748	2372462
429.9501	2369568
426.4264	2374072
423.1966	2372524
419.5742	2364417
416.3616	2369219
412.9295	2371312
409.4335	2374086
406.2053	2378718
402.5656	2363075
399.2321	2378499
395.8069	2377876
392.5372	2380632
389.0239	2374295
385.5952	2377600
381.5527	2370736
378.2313	2371276
374.825	2370288
371.6576	2378185
368.1665	2375119
364.5407	2376922
361.2834	2384096
357.8321	2380662
354.4967	2380319
351.0128	2378089
347.6222	2377815
344.1917	2376399
340.7648	2382018
337.3568	2374527
333.9005	2378197
330.5323	2376351
327.1262	2376527
323.7563	2376291
320.5438	2377224
317.269	2380197
313.5929	2368756
310.2577	2384715
306.9207	2374084
303.4609	2376238
300.0322	2376585
296.5826	2380386
293.2993	2376774
289.8983	2378473
286.4662	2374689
283.0669	2381346
279.6734	2378580
276.2147	2380088
272.8449	2377396
269.4283	2379881
266.1518	2378924
262.6617	2380420
259.2858	2379901
255.8137	2371220
252.5305	2373540
249.1157	2379241
245.6679	2385928
242.2063	2388065
238.8537	2383658
235.3783	2377619
231.9963	2391924
228.5157	2384526
225.1476	2385971
221.7985	2386797
218.1658	2384342
214.8509	2387308
211.319	2389437
208.0215	2380670
204.643	2386172
201.2178	2380747
197.8445	2390144
194.5092	2388663
191.0926	2390295
187.657	2385408
184.2975	2387670
180.8237	2392278
177.4349	2385986
174.212	2390365
170.6623	2388969
167.244	2384416
163.8846	2384906
160.3952	2390048
157.0098	2395072
153.7542	2395635
150.3431	2395970
146.9227	2391960
143.5304	2390479
140.2901	2386191
136.6331	2390077
133.2269	2389841
129.8814	2390612
126.3817	2383618
123.0603	2389319
119.6108	2394198
116.1808	2399112
112.7884	2397618
109.3698	2398274
106.0742	2392925
102.5677	2400022
99.2998	2393243
95.88672	2403899
92.46658	2396210
89.12449	2397792
85.70959	2398805
82.35357	2400896
78.84531	2405967
75.59161	2397797
72.11943	2401154
68.71149	2401124
65.41756	2402688
61.98391	2401293
58.53098	2406810
55.16285	2412771
51.68394	2410578
48.33659	2410934
44.88706	2407872
41.58818	2409725
38.13873	2410154
34.68402	2416565
31.34877	2416181
27.91488	2425060
24.52251	2426247
21.13885	2432350
17.77938	2425187
14.30216	2432584
10.95832	2439801
7.527899	2442610
4.040321	2449110
0.6582995	2459057
-2.713264	2465762
-6.154074	2468799
-9.508811	2475964
-12.94225	2494226
-16.36226	2505649
-19.69201	2516413
-23.15047	2517111
-26.54106	2555598
-29.90398	2567352
-33.30325	2590177
-36.6506	2591149
-40.19873	2605739
-43.62052	2623961
-46.90733	2646607
-50.32731	2660927
-53.8201	2670406
-57.16228	2684198
-60.55807	2679923
-63.97637	2687130
-67.40683	2684745
-70.70406	2700581
-74.19335	2697094
-77.61857	2697613
-80.97353	2694890
-84.35134	2694688
-87.70388	2702274
-91.14642	2694817
-94.49727	2703302
-97.96057	2704200
-101.4135	2707393
-104.6553	2701793
-108.1619	2696819
-111.5075	2702843
-114.9362	2692212
-118.3563	2696218
-121.759	2692445
-125.1306	2690488
-128.5109	2694712
-131.9032	2692420
-135.4133	2696382
-138.7226	2695644
-142.0665	2694416
-145.5038	2688971
-148.9412	2691546
-152.2713	2684839
-155.7	2685350
-159.1217	2682470
-162.599	2681237
-165.9601	2674596
-169.3491	2667125
-172.705	2680397
-176.1095	2678433
-179.5642	2670197
-182.9115	2675738
-186.3541	2660127
-189.6685	2667989
-193.1371	2659351
-196.571	2653690
-199.9426	2651234
-203.3453	2654037
-206.7013	2645744
-210.1464	2628626
-213.5811	2623771
-217.0411	2620955
-220.2777	2620758
-223.7115	2604085
-227.1783	2589549
-230.5066	2592982
-233.7763	2594195
-237.2188	2583582
-240.5939	2571014
-244.2058	2572964
-247.4305	2562947
-250.7	2561828
-254.4322	2437119
-257.7632	2436604
-261.0051	2410956
-264.6811	2416536
-268.0995	2406721
-271.2151	2411444
-274.8045	2413961
-278.0257	2409236
-281.5893	2400087
-284.8139	2393855
-288.2306	2387185
-291.8495	2386192
-295.1604	2384332
-298.392	2388888
-301.8502	2381651
-305.1871	2385170
-308.6349	2382016
-312.2711	2388270
-315.4629	2373657
-318.9728	2385657
-322.1853	2377100
-325.6451	2381268
-329.0512	2378157
-332.3745	2381902
-336.0794	2376528
-339.1557	2378682
-342.5031	2370877
-345.8125	2375191
-349.4435	2373412
-352.8687	2378312
-356.1851	2367480
-359.6101	2372933
-363.082	2372210
-366.5439	2369922
-369.6853	2371925
-373.2141	2367993
-376.4804	2372384
-380.236	2373260
-383.5678	2367660
-386.7804	2371985
-390.3698	2370323
-393.6031	2375814
-396.9903	2373528
-400.2771	2369435
-403.9312	2370439
-407.3299	2370794
-410.5182	2366961
-414.2097	2372532
-417.6298	2365919
-420.7863	2364307
-424.3401	2370714
-427.7809	2372443
-431.2218	2366844
-434.6557	2368336
-437.965	2364484
-441.2863	2369985
-444.7964	2362551
-448.1472	2367275
-451.4721	2368145
-455.0117	2371797
-458.4507	2362973
-461.7305	2366103
-465.0502	2366778
-468.4824	2362153
-471.963	2369900
-475.3848	2364913
-478.72	2367889
-482.1193	2368249
-485.5653	2367919
-488.9247	2366480
-492.4036	2368585
-495.8341	2374667
